ISIM_HAT;ISIM_KISA_HAT;TUR_HAT;ISIM_KURUM;WEBSITE;GLOBALID;SHAPE.LEN;WKT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maçka - Taþkýþla;TF1;Teleferik;Metro Ýstanbul;http://www.metro.istanbul/;{9E39EFC5-D831-4846-813A-238DB76823C7};0;LINESTRING (415410.89219999965 4546028.2338,415317.58579999954 4545986.893200001,415109.33100000024 4545896.5932);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eyüp - Piyerloti Teleferiði;TF2;Teleferik;Metro Ýstanbul;http://www.metro.istanbul/;{2C614611-A9D5-4C8E-920F-BBF3489DB4E9};0;LINESTRING (410412.0722000003 4546656.3178,410398.6991999997 4546710.4846,410331.29480000027 4547042.585000001);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kadýköy-Moda Tramvayý;T3;Nostaljik Tramvay;ÝETT;http://www.iett.gov.tr;{8DE2F627-A076-4740-821D-6775CC2C0F4D};0;MULTILINESTRING ((417714.83299999963 4539921.920600001,417749.19039999973 4539945.036599999,417761.2262000004 4539955.488700001,417794.11899999995 4539986.565400001,417826.01020000037 4540021.4858,417855.67339999974 4540065.348200001,417859.5976 4540068.8091,417864.1464999998 4540071.391000001,417867.73819999956 4540072.6532000005,417871.4782999996 4540073.3638,417875.28259999957 4540073.506899999,417879.0656000003 4540073.079399999,417995.9232000001 4540045.099400001,418230.1398 4539989.522399999,418279.5127999997 4539973.8124,418283.67229999974 4539972.0067,418287.2193999998 4539969.861400001,418290.4617999997 4539967.2809,418293.34779999964 4539964.306399999,418295.82940000016 4539960.987299999,418297.8661000002 4539957.377800001,418299.42420000024 4539953.5374,418300.4781999998 4539949.529200001,418301.01070000045 4539945.4191,418300.6730000004 4539938.225199999,418288.81060000043 4539892.699999999,418279.67360000033 4539857.2732,418273.5823999997 4539825.6938000005,418260.4378000004 4539729.032,418252.74340000004 4539679.178400001,418237.7520000003 4539606.386600001,418194.5345999999 4539481.081800001),(418194.53440000024 4539481.081800001,418178.51439999975 4539430.036699999,418176.0179000003 4539420.5506,418174.0368999997 4539410.943700001,418172.5131000001 4539400.717,418171.5733000003 4539390.4202,418170.8169999998 4539350.0384,418167.9444000004 4539313.691400001,418162.0613000002 4539298.8715,418159.92349999957 4539295.256200001,418157.0192 4539292.222100001,418153.5005999999 4539289.9285,418149.5524000004 4539288.4957,418146.02979999967 4539288.012800001,418142.4801000003 4539288.218800001,418139.4269000003 4539288.968900001,418135.3448999999 4539290.8149,418131.0974000003 4539292.076300001,418126.5875000004 4539292.7574000005,418122.0264999997 4539292.798800001,418116.5853000004 4539291.997400001,418111.35780000035 4539290.287799999,418107.5619999999 4539285.918400001,418075.61060000025 4539243.319599999,418070.3206000002 4539233.0604,418062.21920000017 4539214.148800001,418060.5780999996 4539211.256899999,418058.5259999996 4539208.838400001,418056.06790000014 4539206.8336,418053.2862 4539205.309800001,418050.2735000001 4539204.317600001,418046.26779999956 4539203.8741999995,418042.26779999956 4539204.366599999,417932.8574000001 4539245.6336,417884.40160000045 4539264.4268,417877.79760000017 4539267.366800001,417815.4400000004 4539298.305400001,417709.9610000001 4539355.3736000005,417640.7456 4539391.609200001,417623.5577999996 4539401.541200001,417621.2604 4539404.9353,417619.66810000036 4539408.711999999,417618.8417999996 4539412.727,417618.81340000033 4539416.825300001,417619.0691999998 4539418.693399999,417640.54959999956 4539467.585200001,417657.06060000043 4539532.0264,417661.7092000004 4539565.0484,417661.4336000001 4539579.637599999,417659.4846000001 4539596.814200001,417654.8021999998 4539612.792099999,417647.1213999996 4539633.1766,417592.93900000025 4539748.273800001,417588.74450000003 4539755.179,417585.39800000004 4539762.5327,417582.98599999957 4539770.078199999,417581.46740000043 4539777.8528,417579.57299999986 4539793.423800001,417579.83220000006 4539803.6174,417580.95519999973 4539808.282400001,417583.37399999984 4539812.7743999995,417590.93379999977 4539822.6274,417648.20440000016 4539878.7809999995,417668.22420000006 4539900.0012,417671.2189999996 4539902.5352,417676.17200000025 4539905.5298,417714.8328 4539921.920600001));;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karaköy - Tünel;F2;Funiküler;ÝETT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
{B1F46D33-4AE9-4E8E-860C-901525F482BF};;;1;LINESTRING (413709.3540000003 4543628.1006000005;413710.0959999999 4543657.162599999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Topkapý - Habibler;T4;Tramvay;Metro Ýstanbul;http://www.metro.istanbul/;{61525F83-33F4-415C-BEFD-451CCEE845C5};0;LINESTRING (409172.2555999998 4543322.3401999995,409309.8761999998 4543344.789000001,409363.8706 4543363.26,409446.2838000003 4543404.466,409493.17360000033 4543439.988399999,409578.4283999996 4543516.716600001,409609.6453999998 4543551.567399999,409725.3764000004 4543679.956599999,409880.42200000025 4543871.432,409896.0042000003 4543892.275,409925.51020000037 4543934.8728,409946.11479999963 4543963.178200001,409985.77799999993 4544017.081,409995.86000000034 4544030.033399999,410002.51379999984 4544037.8484000005,410012.9956 4544049.1241999995,410056.96580000035 4544091.2226,410072.9104000004 4544108.399599999,410196.1012000004 4544260.002800001,410244.0303999996 4544315.581800001,410309.60259999987 4544397.136600001,410372.85759999976 4544474.330800001,410379.07079999987 4544482.9969999995,410382.8382000001 4544489.619200001,410386.57660000026 4544497.9616,410389.0114000002 4544505.1811999995,410390.8077999996 4544512.585200001,410391.9517999999 4544520.117799999,410392.43539999984 4544527.7217999995,410392.2542000003 4544535.3386,410391.1617999999 4544544.4146,410388.6972000003 4544554.7892,410384.83220000006 4544565.1338,410355.4784000004 4544616.7535999995,410320.8043999998 4544676.4428,410293.7879999997 4544716.8686,410288.10819999967 4544724.605599999,410282.0064000003 4544731.5692,410275.2101999996 4544737.856799999,410268.8830000004 4544742.659,410223.5246000001 4544769.526799999,410212.9154000003 4544775.218800001,410197.4195999997 4544782.705,410057.5310000004 4544842.991800001,409873.23479999974 4544923.1776,409639.35539999977 4545029.6208,409617.2614000002 4545042.3158,409597.60840000026 4545055.3772,409579.05420000013 4545070.6358,409559.5237999996 4545088.7016,409545.7302000001 4545104.2042,409534.01159999985 4545118.729800001,409524.7346000001 4545132.2796,409506.6688000001 4545161.087200001,409494.50260000024 4545184.666200001,409465.6947999997 4545245.536800001,409371.29619999975 4545447.028000001,409360.39159999974 4545466.233200001,409327.1891999999 4545518.966,409319.05140000023 4545535.567,409309.1233999999 4545560.305600001,409303.9151999997 4545572.187000001,409292.1966000004 4545592.856799999,409267.1321999999 4545633.2202,409254.7627999997 4545652.4254,409233.76719999965 4545677.1642,409150.1272 4545759.1994,409084.8814000003 4545823.052200001,409060.96580000035 4545849.522399999,409027.2977999998 4545895.0318,408978.5376000004 4545966.546800001,408966.4638 4545987.9081999995,408956.01520000026 4546011.1272,408927.6878000004 4546082.642200001,408911.66619999986 4546125.3654,408890.07239999995 4546176.911599999,408825.52300000004 4546312.046800001,408776.99480000045 4546404.6908,408755.6333999997 4546441.609200001,408740.07639999967 4546461.5778,408723.1264000004 4546478.76,408684.8147999998 4546512.195599999,408647.19959999993 4546544.005799999,408613.4051999999 4546570.710000001,408599.29959999956 4546584.2278,408587.8388 4546598.137399999,408577.7492000004 4546613.4188,408563.0555999996 4546640.454399999,408534.45239999983 4546695.603399999,408470.0672000004 4546821.1568,408459.3481999999 4546841.3576,408446.77440000046 4546872.2776,408437.9104000004 4546899.487,408431.3141999999 4546925.8719999995,408425.95440000016 4546955.1428,408422.65660000034 4546990.3914,408416.88439999986 4547061.7129999995,408412.5555999996 4547084.799799999,408388.4380000001 4547158.801200001,408359.3729999997 4547241.460200001,408342.47020000033 4547272.9986000005,408320.82639999967 4547303.093800001,408311.7564000003 4547314.0188,408288.2571999999 4547339.167400001,408251.35919999983 4547376.271,408110.5703999996 4547513.9682,408012.65720000025 4547608.1712,407939.2737999996 4547676.6076,407813.3158 4547792.5967999995,407800.5639000004 4547807.643300001,407790.72530000005 4547821.1632,407781.82660000026 4547835.318,407773.90780000016 4547850.0438,407767.00569999963 4547865.272500001,407762.36730000004 4547877.4013,407710.0536000002 4548026.827199999,407693.7690000003 4548073.207,407665.32239999995 4548150.0942,407597.09219999984 4548329.429400001,407583.90579999983 4548361.1206,407578.7576000001 4548370.675100001,407572.7901999997 4548379.732799999,407565.4846999999 4548388.8715,407557.3426999999 4548397.273600001,407497.32380000036 4548453.521400001,407332.6235999996 4548605.0296,407286.0373999998 4548651.409600001,407237.8024000004 4548703.3552,407169.57239999995 4548773.2344,407092.89080000017 4548849.297599999,407037.64740000013 4548900.212400001,407015.591 4548917.321599999,406985.9079999998 4548935.8736000005,406901.8058000002 4548986.994999999,406829.0410000002 4549030.4892,406746.38159999996 4549078.5188,406623.52660000045 4549148.604599999,406586.42260000017 4549173.752800001,406499.2407999998 4549251.495999999,406375.75459999964 4549365.869200001,406359.87480000034 4549378.767000001,406343.1665000003 4549390.571799999,406330.2488000002 4549398.610200001,406316.9464999996 4549405.9947999995,406185.2879999997 4549472.2344,406071.91500000004 4549532.425799999,405987.24619999994 4549578.3682,405918.5943999998 4549616.849199999,405903.0860000001 4549627.864800001,405876.8524000002 4549649.460200001,405819.02240000013 4549712.2182,405770.7583999997 4549766.7146000005,405656.8373999996 4549893.390000001,405621.0382000003 4549937.4508,405572.7737999996 4550006.585999999,405495.42260000017 4550119.905200001,405366.5614 4550308.0866,405234.8820000002 4550503.5578000005,405153.4992000004 4550620.863399999,405108.0619999999 4550685.421800001,405097.3585999999 4550699.1283,405086.1542999996 4550712.4286,405074.4645999996 4550725.304300001,405062.3055999996 4550737.7377,405041.17700000014 4550757.3148,405018.8864000002 4550775.5578000005,404766.7167999996 4550964.860200001,404729.8820000002 4550995.1219999995,404698.5256000003 4551027.365800001,404673.9731999999 4551056.6514,404623.0932 4551131.4922,404616.48230000027 4551143.9627,404610.86319999956 4551156.9103,404606.5549999997 4551169.3191,404603.1579 4551182.008199999,404597.5789999999 4551214.874399999,404580.71740000043 4551330.019400001,404555.86899999995 4551507.728800001,404496.8531999998 4551929.705,404490.86259999964 4551983.395,404487.7564000003 4552044.8496,404485.5379999997 4552120.725400001,404479.32519999985 4552282.239,404475.99700000044 4552428.2224,404473.3345999997 4552444.640000001,404468.23199999984 4552464.385199999,404437.8367999997 4552553.7948,404379.70940000005 4552720.854800001,404354.86099999957 4552800.2804000005,404322.6355999997 4552893.434,404286.58299999963 4552999.3716,404206.6956000002 4553227.861199999,404153.3448000001 4553375.1204,404127.9176000003 4553446.721999999,404098.4342 4553532.6754,404062.8669999996 4553632.4516,404025.4277999997 4553739.2212000005,404011.0070000002 4553779.1559999995,403998.8644000003 4553806.7776,403993.30869999994 4553817.398399999,403987.22750000004 4553827.727499999,403980.6361999996 4553837.738700001,403973.55140000023 4553847.4069,403966.3669999996 4553856.267000001,403958.76800000016 4553864.7743,403948.14159999974 4553875.692399999,403939.1621000003 4553884.1055,403925.1777999997 4553895.642100001,403910.36679999996 4553906.0963,403894.81290000025 4553915.4092,403878.6037999997 4553923.5282000005,403789.38939999975 4553961.68,403687.8364000004 4554001.927200001,403626.0621999996 4554025.795,403610.9464999996 4554033.3576,403601.15890000015 4554039.1592999995,403591.72190000024 4554045.5107,403582.6657999996 4554052.3892,403574.0181999998 4554059.774700001,403564.9057 4554068.5637,403517.2296000002 4554118.1532000005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
