"ilce","ilce_kodu","musteri_tipi","gaz_abone_sayisi","gaz_kullanici_sayisi"
Esenyurt,2053,Diğer,31,
Eyüpsultan,1325,Hayır Kurumu ve Müze,297,295
Eyüpsultan,1325,İbadethane,143,147
Eyüpsultan,1325,Mesken,145385,142289
Eyüpsultan,1325,Resmi Kurum,4147,3888
Eyüpsultan,1325,Sanayi Tesisleri,229,229
Eyüpsultan,1325,Ticari,11886,10331
Eyüpsultan,1325,Diğer,83,31
Fatih,1327,Hayır Kurumu ve Müze,894,839
Fatih,1327,İbadethane,738,717
Fatih,1327,Mesken,143667,141044
Fatih,1327,Resmi Kurum,18731,15245
Fatih,1327,Sanayi Tesisleri,184,184
Fatih,1327,Ticari,38592,36623
Fatih,1327,Yabancı Temsilcilik,20,20
Gaziosmanpaşa,1336,Hayır Kurumu ve Müze,257,257
Gaziosmanpaşa,1336,İbadethane,182,174
Gaziosmanpaşa,1336,Mesken,155852,154082
Gaziosmanpaşa,1336,Resmi Kurum,1915,1840
Gaziosmanpaşa,1336,Sanayi Tesisleri,109,109
Gaziosmanpaşa,1336,Ticari,10901,9676
Güngören,2010,Hayır Kurumu ve Müze,73,73
Güngören,2010,İbadethane,213,205
Güngören,2010,Mesken,97971,96957
Güngören,2010,Resmi Kurum,1631,1599
Güngören,2010,Sanayi Tesisleri,637,637
Güngören,2010,Ticari,15843,14329
Kadıköy,1421,Hayır Kurumu ve Müze,226,222
Kadıköy,1421,İbadethane,270,251
Kadıköy,1421,Mesken,259619,244007
Kadıköy,1421,Resmi Kurum,8615,8453
Kadıköy,1421,Sanayi Tesisleri,42,42
Kadıköy,1421,Ticari,31695,28899
Kağıthane,1810,Hayır Kurumu ve Müze,112,112
Kağıthane,1810,İbadethane,299,297
Kağıthane,1810,Mesken,162753,159045
Kağıthane,1810,Resmi Kurum,2655,2593
Kağıthane,1810,Sanayi Tesisleri,15,15
Kağıthane,1810,Ticari,19064,17100
Kağıthane,1810,Yabancı Temsilcilik,8,8
Kartal,1449,Hayır Kurumu ve Müze,263,263
Kartal,1449,İbadethane,208,183
Kartal,1449,Mesken,185861,181444
Kartal,1449,Resmi Kurum,10259,9853
Kartal,1449,Sanayi Tesisleri,138,138
Kartal,1449,Ticari,15594,13827
Küçükçekmece,1823,Hayır Kurumu ve Müze,344,334
Küçükçekmece,1823,İbadethane,216,212
Küçükçekmece,1823,Mesken,273772,270695
Küçükçekmece,1823,Resmi Kurum,7482,7405
Küçükçekmece,1823,Sanayi Tesisleri,376,376
Küçükçekmece,1823,Ticari,20590,17954
Küçükçekmece,1823,Diğer,7,
Maltepe,2012,Hayır Kurumu ve Müze,212,212
Maltepe,2012,İbadethane,225,214
Maltepe,2012,Mesken,201965,196969
Maltepe,2012,Resmi Kurum,6796,6652
Maltepe,2012,Sanayi Tesisleri,3,3
Maltepe,2012,Ticari,19294,17511
Maltepe,2012,Diğer,,7
Pendik,1835,Hayır Kurumu ve Müze,160,158
Pendik,1835,İbadethane,225,210
Pendik,1835,Mesken,252802,246867
Pendik,1835,Resmi Kurum,7917,7523
Pendik,1835,Sanayi Tesisleri,220,219
Pendik,1835,Ticari,32136,27487
Sancaktepe,2054,Hayır Kurumu ve Müze,69,69
Sancaktepe,2054,İbadethane,176,168
Sancaktepe,2054,Mesken,146871,142672
Sancaktepe,2054,Resmi Kurum,2529,2366
Sancaktepe,2054,Sanayi Tesisleri,378,378
Sancaktepe,2054,Ticari,14104,11653
Sarıyer,1604,Hayır Kurumu ve Müze,139,138
Sarıyer,1604,İbadethane,197,190
Sarıyer,1604,Mesken,148740,143257
Sarıyer,1604,Resmi Kurum,11032,10652
Sarıyer,1604,Sanayi Tesisleri,1033,1033
Sarıyer,1604,Ticari,24947,22947
Sarıyer,1604,Yabancı Temsilcilik,193,193
Silivri,1622,İbadethane,58,56
Silivri,1622,Mesken,84719,78260
Silivri,1622,Resmi Kurum,7034,7076
Silivri,1622,Sanayi Tesisleri,493,493
Silivri,1622,Ticari,10086,8948
Sultanbeyli,2014,Hayır Kurumu ve Müze,17,16
Sultanbeyli,2014,İbadethane,223,208
Sultanbeyli,2014,Mesken,91136,88986
Sultanbeyli,2014,Resmi Kurum,2075,1980
Sultanbeyli,2014,Sanayi Tesisleri,24,24
Sultanbeyli,2014,Ticari,8948,5998
Sultangazi,2055,Hayır Kurumu ve Müze,120,115
Sultangazi,2055,İbadethane,146,131
Sultangazi,2055,Mesken,158745,156804
Sultangazi,2055,Resmi Kurum,2869,2712
Sultangazi,2055,Sanayi Tesisleri,149,149
Sultangazi,2055,Ticari,11383,8475
Şile,1659,Hayır Kurumu ve Müze,11,10
Şile,1659,İbadethane,41,37
Şile,1659,Mesken,21623,20324
Şile,1659,Resmi Kurum,1119,941
Şile,1659,Sanayi Tesisleri,3,3
Şile,1659,Ticari,2634,2151
Şişli,1663,Hayır Kurumu ve Müze,337,336
Şişli,1663,İbadethane,156,148
Şişli,1663,Mesken,133158,130024
Şişli,1663,Resmi Kurum,9188,9133
Şişli,1663,Sanayi Tesisleri,260,260
Şişli,1663,Ticari,48171,43068
Şişli,1663,Yabancı Temsilcilik,114,114
Tuzla,2015,Hayır Kurumu ve Müze,32,32
Tuzla,2015,İbadethane,115,112
Tuzla,2015,Mesken,103052,97962
Tuzla,2015,Resmi Kurum,5609,5488
Tuzla,2015,Sanayi Tesisleri,717,717
Tuzla,2015,Ticari,26087,17826
Tuzla,2015,Diğer,9,
Ümraniye,1852,Hayır Kurumu ve Müze,233,219
Ümraniye,1852,İbadethane,316,304
Ümraniye,1852,Mesken,251302,246310
Ümraniye,1852,Resmi Kurum,4276,4142
Ümraniye,1852,Sanayi Tesisleri,641,641
Ümraniye,1852,Ticari,40873,33423
Ümraniye,1852,Diğer,,9
Üsküdar,1708,Hayır Kurumu ve Müze,469,460
Üsküdar,1708,İbadethane,404,375
Üsküdar,1708,Mesken,207420,201002
Üsküdar,1708,Resmi Kurum,9211,8828
Üsküdar,1708,Sanayi Tesisleri,2,2
Üsküdar,1708,Ticari,24594,22101
Zeytinburnu,1739,Hayır Kurumu ve Müze,163,92
Zeytinburnu,1739,İbadethane,95,95
Zeytinburnu,1739,Mesken,91864,89150
Zeytinburnu,1739,Resmi Kurum,4869,4349
Zeytinburnu,1739,Sanayi Tesisleri,89,89
Zeytinburnu,1739,Ticari,16093,14498
